transaction_id,customer_id,product_name,quantity,price,payment_method,region
TXN_1001,CUST_501,Laptop,1,899.99,credit_card,North
TXN_1002,CUST_502,Mouse,2,25.50,paypal,South
TXN_1003,CUST_503,Keyboard,1,75.00,debit_card,East
TXN_1004,CUST_504,Monitor,1,299.99,credit_card,West
TXN_1005,CUST_505,Webcam,3,45.00,paypal,North
TXN_1006,CUST_506,Headset,1,120.00,credit_card,South
TXN_1007,CUST_507,USB_Cable,5,8.99,debit_card,East
TXN_1008,CUST_508,External_SSD,1,159.99,paypal,West
TXN_1009,CUST_509,Laptop_Bag,2,35.00,credit_card,North
TXN_1010,CUST_510,Docking_Station,1,189.99,debit_card,South
TXN_1011,CUST_511,Wireless_Mouse,1,42.50,paypal,East
TXN_1012,CUST_512,Monitor_Stand,1,55.00,credit_card,West
TXN_1013,CUST_513,HDMI_Cable,3,12.99,debit_card,North
TXN_1014,CUST_514,Laptop,1,1299.99,credit_card,South
TXN_1015,CUST_515,Tablet,2,349.00,paypal,East
TXN_1016,CUST_516,Phone_Charger,4,19.99,debit_card,West
TXN_1017,CUST_517,Power_Bank,1,39.99,credit_card,North
TXN_1018,CUST_518,Screen_Protector,5,9.99,paypal,South
TXN_1019,CUST_519,USB_Hub,2,29.99,debit_card,East
TXN_1020,CUST_520,Bluetooth_Speaker,1,79.99,credit_card,West
